source,target,origin
CALM2,AQP6,stMLnet
CALM2,CACNA1C,stMLnet
CALM2,CNGA2,stMLnet
CALM2,EGFR,stMLnet
CALM2,GP6,stMLnet
CALM2,GRM5,stMLnet
CALM2,GRM7,stMLnet
CALM2,INSR,stMLnet
CALM2,KCNH1,stMLnet
CALM2,KCNQ1,stMLnet
CALM2,KCNQ3,stMLnet
CALM2,KCNQ5,stMLnet
CALM2,MYLK,stMLnet
CALM2,MYLK2,stMLnet
CALM2,PDE1A,stMLnet
CALM2,PDE1B,stMLnet
CALM2,PDE1C,stMLnet
CALM2,SCN10A,stMLnet
CALM2,SCN4A,stMLnet
CALM2,SELL,stMLnet
CALM2,TRPC5,stMLnet
CALM3,ABCA1,stMLnet
CALM3,ADCY8,stMLnet
CALM3,AQP6,stMLnet
CALM3,CNGA2,stMLnet
CALM3,EGFR,stMLnet
CALM3,GP6,stMLnet
CALM3,GRM5,stMLnet
CALM3,GRM7,stMLnet
CALM3,INSR,stMLnet
CALM3,KCNH1,stMLnet
CALM3,KCNQ1,stMLnet
CALM3,KCNQ3,stMLnet
CALM3,KCNQ5,stMLnet
CALM3,MYLK,stMLnet
CALM3,MYLK2,stMLnet
CALM3,PDE1A,stMLnet
CALM3,PDE1B,stMLnet
CALM3,PDE1C,stMLnet
CALM3,SCN10A,stMLnet
CALM3,SCN4A,stMLnet
CALM3,SELL,stMLnet
CALM3,TRPC5,stMLnet
CALR,HLA-F,stMLnet
CALR,ITGA3,stMLnet
CALR,ITGAV,stMLnet
CALR,LRP1,stMLnet
CALR,MTNR1A,stMLnet
CALR,SCARF1,stMLnet
CALR,TSHR,stMLnet
CAMP,EGFR,stMLnet
CAMP,FPR2,stMLnet
CAMP,IGF1R,stMLnet
CAMP,P2RX7,stMLnet
CCK,CCKAR,stMLnet
CCK,CCKBR,stMLnet
CCL1,ACKR1,stMLnet
CCL1,ACKR4,stMLnet
CCL1,CCR8,stMLnet
CCL11,ACKR1,stMLnet
CCL11,ACKR2,stMLnet
CCL11,ACKR4,stMLnet
CCL11,CCR2,stMLnet
CCL11,CCR3,stMLnet
CCL11,CCR5,stMLnet
CCL11,CXCR3,stMLnet
CCL12,CCR2,stMLnet
CCL13,ACKR1,stMLnet
CCL13,ACKR2,stMLnet
CCL13,ACKR4,stMLnet
CCL13,CCR1,stMLnet
CCL13,CCR2,stMLnet
CCL13,CCR3,stMLnet
CCL13,CCR5,stMLnet
CCL13,CCR9,stMLnet
CCL13,CXCR3,stMLnet
CCL14,ACKR1,stMLnet
CCL14,ACKR2,stMLnet
CCL14,CCR1,stMLnet
CCL14,CCR3,stMLnet
CCL14,CCR5,stMLnet
CCL15,CCR1,stMLnet
CCL15,CCR3,stMLnet
CCL16,ACKR1,stMLnet
CCL16,CCR1,stMLnet
CCL16,CCR2,stMLnet
CCL16,CCR5,stMLnet
CCL16,CCR8,stMLnet
CCL16,HRH4,stMLnet
CCL17,ACKR1,stMLnet
CCL17,ACKR2,stMLnet
CCL17,CCR4,stMLnet
CCL17,CCR8,stMLnet
CCL18,ACKR1,stMLnet
CCL18,CCR3,stMLnet
CCL18,CCR8,stMLnet
CCL18,PITPNM3,stMLnet
CCL19,ACKR2,stMLnet
CCL19,ACKR4,stMLnet
CCL19,CCR10,stMLnet
